league_name,country_name
Brasileiro Women,Brazil
League Cup,Finland
The Atlantic Cup,intl
League Cup,Thailand
League Cup,Egypt
Tipsport Malta Cup,intl
Ykköscup,Finland
Primera Division,Cuba
Torneo Proyección,Argentina
MLS Next Pro,USA
Africa Cup of Nations Qualification,intl
UEFA U17 Championship,intl
FA Cup,Malaysia
Youth Viareggio Cup,intl
Algarve Cup,intl
Super Cup,United Arab Emirates
Concacaf Women's U17,intl
AFC Women's Asian Cup,intl
Southeast Asian Games,intl
NASL,USA
Super Cup,Iran
SheBelieves Cup,intl
ASEAN U23 Championship,intl
Emirates Cup,intl
Tournoi Maurice Revello,intl
Kirin Cup,intl
Copa Ecuador,Ecuador
1. Division Women,Norway
CONMEBOL/UEFA Finalissima,intl
League 1 Ontario,Canada
Copa Uruguay,Uruguay
Super League,Kenya
Catarinense 2,Brazil
U20 Arab Championship,intl
Chinese Football League 2,China
CAF Women's Africa Cup of Nations,intl
FIFA U20 Women's World Cup,intl
Mediterranean Games,intl
ASEAN U19 Championship,intl
UEFA U19 Championship Women,intl
Piala Presiden,Indonesia
CONMEBOL Copa America Femenina,intl
Diski Shield,South Africa
Concacaf Women's World Cup Qualifiers,intl
Africa U23 Cup of Nations Qualification,intl
Cup,Singapore
Second NL,Croatia
South American Youth Games,intl
CONMEBOL Libertadores Femenina,intl
DFB Pokal Women,Germany
Super Cup,Oman
FIFA U17 Women's World Cup,intl
Premier League,Lesotho
COTIF Tournament,intl
Islamic Solidarity Games,intl
Women's International Champions Cup,intl
1a Divisão Women,Portugal
National League,New Zealand
Super Cup,Croatia
2. Bundesliga Women,Germany
Supercopa,Paraguay
Copa Bolivia,Bolivia
Cup,Ghana
AFC U20 Asian Cup,intl
Cup,Lebanon
Shield Cup,Kenya
CAFA Nations Cup,intl
AFC U17 Asian Cup,intl
All-Island Cup,intl
U23 League,Mexico
Federation Cup,Lebanon
Premier League Summer Series,England
UEFA/CONMEBOL Club Challenge,intl
Second League A,Russia
Concacaf Central American Cup,intl
Goiano 2,Brazil
Premier League,Bhutan
UEFA Women's Nations League,intl
Copa Rio,Brazil
Copa Santa Catarina,Brazil
Paraibano 2,Brazil
Premier League International Cup,intl
Super Cup,Gibraltar
Júniores U19,Portugal
Women's WC Qualification Intercontinental Play-offs,intl
Championnat D1,Gabon
King's Cup,intl
Club Friendlies Women,intl
Super Cup,China
CONMEBOL U17,intl
Concacaf Women's U20,intl
Copa Costa Rica,Costa Rica
Concacaf U17,intl
Charity Shield,Northern Ireland
CAF U23 Cup of Nations,intl
Calcutta Premier Division,India
Ekstraliga Women,Poland
CAC Games,intl
Primeira Divisão,Macao
CAF U17 Cup of Nations,intl
African Football League,intl
Erste Liga Cup,Switzerland
Concacaf W Gold Cup Qualification,intl
Premier Division,Antigua And Barbuda
HKPL Cup,Honkg Kong
Concacaf W Gold Cup,intl
Recopa Catarinense,Brazil
Supercopa Femenina,Spain
Super Cup,Malta
Pan American Games,intl
Women's Olympic Qualifying CAF,intl
CONMEBOL Pre-Olympic Tournament,intl
Paulista A4,Brazil
Copa Alagoas,Brazil
Paulista Série B,Brazil
Yemeni League,Yemen
FA Youth Cup,England
SWPL Cup,Scotland
U19 League,Ukraine
Concacaf U20 Qualification,intl
Torneo Promocional Amateur,Argentina
Goiano U20,Brazil
Paranaense U20,Brazil
AFC U20 Women's Asian Cup,intl
African Games,intl
Baiano U20,Brazil
SWF Scottish Cup,Scotland
CONMEBOL U17 Femenino,intl
Pro League,Uzbekistan
Premier Division,Grenada
Catarinense U20,Brazil
WAFF Championship U23,intl
Copa Rio U20,Brazil
UEFA Women's Championship Qualification,intl
Qatar-UAE Super Cup,intl
Paulista U20,Brazil
Capital Territory NPL 2,Australia
Western Australia State League 1,Australia
UAE-Qatar Super Shield,intl
NNSW League 1,Australia
Tasmania Southern Championship,Australia
Pernambucano U20,Brazil
Tasmania Northern Championship,Australia
Ykkösliiga,Finland
USL Cup,USA
Matogrossense 2,Brazil
Copa Espírito Santo,Brazil
Brasiliense U20,Brazil
AFC U17 Women's Asian Cup,intl
Premiership Women,Northern Ireland
Olympics Intercontinental Play-offs,intl
Liga 3,Georgia
Carioca C,Brazil
Mineiro U20,Brazil
Sergipano U20,Brazil
Super Cup,Bahrain
Alagoano U20,Brazil
Cearense U20,Brazil
WPSL,USA
NPSL,USA
NWSL x Liga MXF Summer Cup,USA
USL W League,USA
Paraense B2,Brazil
Carioca U20,Brazil
Paraibano U20,Brazil
Cearense 3,Brazil
Pernambucano 2,Brazil
Chatham Cup,New Zealand
Esiliiga B,Estonia
Brasileiro U17,Brazil
Recopa,Costa Rica
USL Super League,USA
Copa Venezuela,Venezuela
OFC U19 Championship,intl
Championnat National,Togo
UEFA U17 Championship Women,intl
CONMEBOL U20 Femenino,intl
ASEAN Club Championship,intl
Super Cup,Mongolia
AFC Challenge League,intl
Goiano 3,Brazil
Amazonense 2,Brazil
Concacaf W Champions Cup,intl
Sergipano 2,Brazil
Paranaense 3,Brazil
Potiguar U20,Brazil
Supercup der Frauen,Germany
AFC Women's Champions League,intl
Brasiliense B,Brazil
Mineiro 3,Brazil
Estadual Junior U20,Brazil
Super Cup,Ghana
Alagoano 2,Brazil
Capixaba B,Brazil
Paraense B1,Brazil
Maranhense 2,Brazil
AFC U20 Asian Cup Qualification,intl
Pernambucano 3,Brazil
Potiguar 2,Brazil
Gaúcho 3,Brazil
U19 Divisie 1,Netherlands
Catarinense 3,Brazil
Super Copa International,Argentina
Carioca B2,Brazil
National League Cup,England
Paraense U20,Brazil
Copa Gaúcha,Brazil
CECAFA U20 Championship,intl
Sapling Cup,Hong Kong
AFC U17 Asian Cup Qualification,intl
AGCFF Gulf Champions League,intl
Copa Fares Lopes,Brazil
CAF Women's Champions League,intl
Super Cup,Cameroon
MFL Cup,Malaysia
EAFF Football Championship Qualification,intl
Coppa Italia Women,Italy
Torneo Amistoso de Verano,Bolivia
Concacaf Women's U20 Qualification,intl
Copa LDF,Dominican Republic
Challenge Cup,Malta
Hun Sen Cup,Cambodia
Northern Super League,Canada
Women's President's Cup,Ireland
Copa do Brasil U17,Brazil
Supercopa,Venezuela
Brasileiro U20 B,Brazil
Copa Grão Pará,Brazil
FIFA Club World Cup,Worldcup
Super Cup,Latvia
Super Cup,Faroe Islands
African Nations Championship Qualification,intl
